train_loss_step,train_main_loss_step,train_recon_loss_step,step,epoch,val_recon_loss_step,val_loss_step,val_main_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
382999328.0,765989504.0,4573.42041015625,49,0,,,,,,,,,
,,,0,,5383.3349609375,415261184.0,830511616.0,,,,,,
,,,1,,5383.31689453125,376961664.0,753912576.0,,,,,,
,,,2,,5383.30908203125,384245856.0,768480960.0,,,,,,
,,,3,,5383.34814453125,351812128.0,703613504.0,,,,,,
,,,4,,5383.38427734375,422775808.0,845540864.0,,,,,,
,,,5,,5383.35498046875,460880992.0,921751232.0,,,,,,
,,,6,,5383.359375,432833024.0,865655296.0,,,,,,
,,,7,,5383.279296875,388009248.0,776007744.0,,,,,,
,,,8,,5383.30908203125,391219424.0,782428096.0,,,,,,
,,,9,,5383.310546875,465971360.0,931931968.0,,,,,,
,,,10,,5383.32666015625,500143968.0,1000277184.0,,,,,,
,,,11,,5383.29443359375,404867040.0,809723328.0,,,,,,
,,,12,,5383.36083984375,467586848.0,935162944.0,,,,,,
,,,13,,5383.33447265625,367355968.0,734701184.0,,,,,,
,,,14,,5383.4091796875,373543008.0,747075264.0,,,,,,
,,,15,,5383.30615234375,482017984.0,964025216.0,,,,,,
,,,16,,5383.33740234375,384909408.0,769808064.0,,,,,,
,,,17,,5383.365234375,378240352.0,756469952.0,,,,,,
,,,18,,5383.36474609375,425576608.0,851142464.0,,,,,,
,,,19,,5383.34765625,399566656.0,799122560.0,,,,,,
,,,79,0,,,,413688896.0,827367104.0,5383.33740234375,,,
,,,79,0,,,,,,,4569.62060546875,415837952.0,831666752.0
445265376.0,890521600.0,4564.3330078125,99,1,,,,,,,,,
444388608.0,888768128.0,4540.1474609375,149,1,,,,,,,,,
,,,20,,5348.1904296875,414843840.0,829676992.0,,,,,,
,,,21,,5348.17431640625,376578880.0,753147072.0,,,,,,
,,,22,,5348.16748046875,383859200.0,767707712.0,,,,,,
,,,23,,5348.20654296875,351429760.0,702848832.0,,,,,,
,,,24,,5348.23828125,422360992.0,844711296.0,,,,,,
,,,25,,5348.21923828125,460428832.0,920846976.0,,,,,,
,,,26,,5348.22119140625,432406304.0,864801920.0,,,,,,
,,,27,,5348.140625,387609408.0,775208128.0,,,,,,
,,,28,,5348.17041015625,390825504.0,781640320.0,,,,,,
,,,29,,5348.1669921875,465529344.0,931048000.0,,,,,,
,,,30,,5348.1806640625,499679200.0,999347712.0,,,,,,
,,,31,,5348.15185546875,404461376.0,808912064.0,,,,,,
,,,32,,5348.2197265625,467144768.0,934278848.0,,,,,,
,,,33,,5348.193359375,366982080.0,733953472.0,,,,,,
,,,34,,5348.27099609375,373147584.0,746284480.0,,,,,,
,,,35,,5348.16650390625,481560928.0,963111168.0,,,,,,
,,,36,,5348.20166015625,384513440.0,769016192.0,,,,,,
,,,37,,5348.22509765625,377840480.0,755670272.0,,,,,,
,,,38,,5348.22705078125,425151968.0,850293248.0,,,,,,
,,,39,,5348.20361328125,399166336.0,798321984.0,,,,,,
,,,159,1,,,,413276032.0,826541248.0,5348.1962890625,,,
,,,159,1,,,,,,,4554.435546875,415517696.0,831026496.0
393018816.0,786028608.0,4517.505859375,199,2,,,,,,,,,
,,,40,,5295.8037109375,414052416.0,828094272.0,,,,,,
,,,41,,5295.787109375,375853184.0,751695808.0,,,,,,
,,,42,,5295.77978515625,383126080.0,766241600.0,,,,,,
,,,43,,5295.81982421875,350704768.0,701398976.0,,,,,,
,,,44,,5295.85205078125,421574240.0,843137920.0,,,,,,
,,,45,,5295.83251953125,459571328.0,919132096.0,,,,,,
,,,46,,5295.833984375,431597120.0,863183680.0,,,,,,
,,,47,,5295.751953125,386851296.0,773692032.0,,,,,,
,,,48,,5295.78076171875,390078624.0,780146688.0,,,,,,
,,,49,,5295.77880859375,464690976.0,929371392.0,,,,,,
,,,50,,5295.7939453125,498797856.0,997585152.0,,,,,,
,,,51,,5295.765625,403692160.0,807373760.0,,,,,,
,,,52,,5295.8310546875,466306464.0,932602368.0,,,,,,
,,,53,,5295.806640625,366273120.0,732535680.0,,,,,,
,,,54,,5295.8779296875,372397856.0,744785152.0,,,,,,
,,,55,,5295.77880859375,480693984.0,961377408.0,,,,,,
,,,56,,5295.8154296875,383762624.0,767514688.0,,,,,,
,,,57,,5295.83447265625,377082144.0,754153728.0,,,,,,
,,,58,,5295.8388671875,424346784.0,848683008.0,,,,,,
,,,59,,5295.8154296875,398407168.0,796803776.0,,,,,,
,,,239,2,,,,412493024.0,824975488.0,5295.80908203125,,,
,,,239,2,,,,,,,4515.75927734375,414982592.0,829955904.0
394646592.0,789284224.0,4484.85107421875,249,3,,,,,,,,,
480342400.0,960675904.0,4449.93994140625,299,3,,,,,,,,,
,,,60,,5231.078125,412895296.0,825780160.0,,,,,,
,,,61,,5231.06005859375,374792288.0,749574144.0,,,,,,
,,,62,,5231.060546875,382054368.0,764098304.0,,,,,,
,,,63,,5231.09375,349645024.0,699279616.0,,,,,,
,,,64,,5231.12255859375,420424224.0,840838016.0,,,,,,
,,,65,,5231.10888671875,458317440.0,916624448.0,,,,,,
,,,66,,5231.10302734375,430413952.0,860817472.0,,,,,,
,,,67,,5231.03076171875,385743040.0,771475648.0,,,,,,
,,,68,,5231.0673828125,388986784.0,777963136.0,,,,,,
,,,69,,5231.05078125,463465376.0,926920320.0,,,,,,
,,,70,,5231.0712890625,497509216.0,995008000.0,,,,,,
,,,71,,5231.04345703125,402567552.0,805124672.0,,,,,,
,,,72,,5231.10205078125,465080544.0,930150656.0,,,,,,
,,,73,,5231.08740234375,365236800.0,730463168.0,,,,,,
,,,74,,5231.1474609375,371301888.0,742593344.0,,,,,,
,,,75,,5231.0595703125,479426496.0,958842560.0,,,,,,
,,,76,,5231.08935546875,382665120.0,765319808.0,,,,,,
,,,77,,5231.1123046875,375973536.0,751936640.0,,,,,,
,,,78,,5231.1142578125,423169504.0,846328576.0,,,,,,
,,,79,,5231.09375,397297376.0,794584320.0,,,,,,
,,,319,3,,,,411348288.0,822686208.0,5231.08447265625,,,
,,,319,3,,,,,,,4462.8505859375,414294912.0,828580800.0
363139104.0,726269376.0,4417.98486328125,349,4,,,,,,,,,
492016192.0,984023616.0,4395.43359375,399,4,,,,,,,,,
,,,80,,5181.95361328125,411348864.0,822687360.0,,,,,,
,,,81,,5181.9306640625,373374752.0,746739136.0,,,,,,
,,,82,,5181.9443359375,380622304.0,761234240.0,,,,,,
,,,83,,5181.9716796875,348228832.0,696447296.0,,,,,,
,,,84,,5181.994140625,418887200.0,837764032.0,,,,,,
,,,85,,5181.99560546875,456641472.0,913272576.0,,,,,,
,,,86,,5181.9814453125,428832576.0,857654784.0,,,,,,
,,,87,,5181.9091796875,384261920.0,768513472.0,,,,,,
,,,88,,5181.95849609375,387527648.0,775044928.0,,,,,,
,,,89,,5181.92236328125,461827104.0,923643840.0,,,,,,
,,,90,,5181.94482421875,495786496.0,991562624.0,,,,,,
,,,91,,5181.91796875,401064704.0,802119040.0,,,,,,
,,,92,,5181.97998046875,463442144.0,926873920.0,,,,,,
,,,93,,5181.96875,363852128.0,727693888.0,,,,,,
,,,94,,5182.015625,369837248.0,739664128.0,,,,,,
,,,95,,5181.93798828125,477732064.0,955453760.0,,,,,,
,,,96,,5181.96728515625,381198400.0,762386432.0,,,,,,
,,,97,,5181.98828125,374492064.0,748973760.0,,,,,,
,,,98,,5181.9921875,421596096.0,843181824.0,,,,,,
,,,99,,5181.97314453125,395814176.0,791617984.0,,,,,,
,,,399,4,,,,409818432.0,819626496.0,5181.96240234375,,,
,,,399,4,,,,,,,4410.12353515625,413068896.0,826129280.0
356188032.0,712367296.0,4375.97314453125,449,5,,,,,,,,,
,,,100,,5147.6396484375,409558464.0,819106624.0,,,,,,
,,,101,,5147.61328125,371733984.0,743457664.0,,,,,,
,,,102,,5147.62890625,378964704.0,757919104.0,,,,,,
,,,103,,5147.65234375,346589760.0,693169216.0,,,,,,
,,,104,,5147.67578125,417107712.0,834205120.0,,,,,,
,,,105,,5147.68310546875,454700672.0,909391040.0,,,,,,
,,,106,,5147.66064453125,427001696.0,853993088.0,,,,,,
,,,107,,5147.59033203125,382547392.0,765084480.0,,,,,,
,,,108,,5147.63818359375,385838688.0,771667072.0,,,,,,
,,,109,,5147.60595703125,459930048.0,919849792.0,,,,,,
,,,110,,5147.6279296875,493791552.0,987572800.0,,,,,,
,,,111,,5147.6005859375,399324928.0,798639552.0,,,,,,
,,,112,,5147.66357421875,461544928.0,923079552.0,,,,,,
,,,113,,5147.65478515625,362249536.0,724488768.0,,,,,,
,,,114,,5147.689453125,368141792.0,736273280.0,,,,,,
,,,115,,5147.6171875,475769888.0,951529472.0,,,,,,
,,,116,,5147.6513671875,379500576.0,758990848.0,,,,,,
,,,117,,5147.66650390625,372777024.0,745543744.0,,,,,,
,,,118,,5147.666015625,419774304.0,839538304.0,,,,,,
,,,119,,5147.65673828125,394097280.0,788184256.0,,,,,,
,,,479,5,,,,408047264.0,816084224.0,5147.64453125,,,
,,,479,5,,,,,,,4377.77685546875,411323328.0,822638400.0
407498816.0,814988928.0,4350.6708984375,499,6,,,,,,,,,
421675072.0,843341504.0,4322.5791015625,549,6,,,,,,,,,
,,,120,,5085.1298828125,407430432.0,814850688.0,,,,,,
,,,121,,5085.10498046875,369784352.0,739558528.0,,,,,,
,,,122,,5085.123046875,376994976.0,753979776.0,,,,,,
,,,123,,5085.140625,344642112.0,689274048.0,,,,,,
,,,124,,5085.1640625,414992768.0,829975360.0,,,,,,
,,,125,,5085.1767578125,452393344.0,904776512.0,,,,,,
,,,126,,5085.14794921875,424825440.0,849640704.0,,,,,,
,,,127,,5085.0791015625,380509856.0,761009536.0,,,,,,
,,,128,,5085.134765625,383831648.0,767653120.0,,,,,,
