train_recon_loss_step,train_loss_step,step,epoch,train_main_loss_step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_main_loss_epoch,val_loss_epoch,val_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
4658.11474609375,393679744.0,49,0,787350144.0,,,,,,,,,
,,0,,,5666.5986328125,388126944.0,776242560.0,,,,,,
,,1,,,5666.5576171875,457565408.0,915119488.0,,,,,,
,,2,,,5666.5908203125,402148864.0,804286400.0,,,,,,
,,3,,,5666.54833984375,435994304.0,871977280.0,,,,,,
,,4,,,5666.56640625,355151712.0,710292096.0,,,,,,
,,5,,,5666.56689453125,410810336.0,821609344.0,,,,,,
,,6,,,5666.54833984375,446229632.0,892447936.0,,,,,,
,,7,,,5666.6123046875,458818176.0,917625024.0,,,,,,
,,8,,,5666.5341796875,457811392.0,915611456.0,,,,,,
,,9,,,5666.58544921875,400643296.0,801275264.0,,,,,,
,,10,,,5666.5732421875,405641632.0,811271936.0,,,,,,
,,11,,,5666.5673828125,399597664.0,799184000.0,,,,,,
,,12,,,5666.5732421875,428312224.0,856613120.0,,,,,,
,,13,,,5666.5751953125,362967456.0,725923584.0,,,,,,
,,14,,,5666.546875,407438176.0,814865024.0,,,,,,
,,15,,,5666.54736328125,451750240.0,903489152.0,,,,,,
,,16,,,5666.56005859375,434222624.0,868433920.0,,,,,,
,,17,,,5666.57470703125,414989024.0,829966720.0,,,,,,
,,18,,,5666.546875,396192096.0,792372864.0,,,,,,
,,19,,,5666.57861328125,427166816.0,854322304.0,,,,,,
,,79,0,,,,,834146432.0,417078848.0,5666.568359375,,,
,,79,0,,,,,,,,414733696.0,829458112.0,4656.283203125
4631.89990234375,501631232.0,99,1,1003253184.0,,,,,,,,,
4596.19921875,395346048.0,149,1,790682880.0,,,,,,,,,
,,20,,,5572.27294921875,387808224.0,775605312.0,,,,,,
,,21,,,5572.23095703125,457207360.0,914403584.0,,,,,,
,,22,,,5572.26025390625,401830368.0,803649600.0,,,,,,
,,23,,,5572.2216796875,435640640.0,871270144.0,,,,,,
,,24,,,5572.23974609375,354850240.0,709689344.0,,,,,,
,,25,,,5572.244140625,410478304.0,820945472.0,,,,,,
,,26,,,5572.220703125,445882976.0,891754816.0,,,,,,
,,27,,,5572.28955078125,458452960.0,916894784.0,,,,,,
,,28,,,5572.20751953125,457448512.0,914885888.0,,,,,,
,,29,,,5572.26123046875,400319200.0,800627264.0,,,,,,
,,30,,,5572.2490234375,405309696.0,810608256.0,,,,,,
,,31,,,5572.2412109375,399273664.0,798536192.0,,,,,,
,,32,,,5572.24951171875,427963584.0,855916032.0,,,,,,
,,33,,,5572.251953125,362661760.0,725312384.0,,,,,,
,,34,,,5572.22021484375,407104064.0,814196992.0,,,,,,
,,35,,,5572.22119140625,451395616.0,902780096.0,,,,,,
,,36,,,5572.23291015625,433881568.0,867752000.0,,,,,,
,,37,,,5572.2470703125,414654144.0,829297152.0,,,,,,
,,38,,,5572.224609375,395862784.0,791714432.0,,,,,,
,,39,,,5572.255859375,426819296.0,853627456.0,,,,,,
,,159,1,,,,,833473344.0,416742240.0,5572.2421875,,,
,,159,1,,,,,,,,414558368.0,829107264.0,4618.05859375
4515.73876953125,397334656.0,199,2,794660288.0,,,,,,,,,
,,40,,,5405.927734375,387182144.0,774353472.0,,,,,,
,,41,,,5405.8857421875,456504032.0,912997248.0,,,,,,
,,42,,,5405.91357421875,401204800.0,802398784.0,,,,,,
,,43,,,5405.87548828125,434945760.0,869880704.0,,,,,,
,,44,,,5405.89501953125,354257952.0,708505088.0,,,,,,
,,45,,,5405.89697265625,409826048.0,819641280.0,,,,,,
,,46,,,5405.876953125,445202176.0,890393536.0,,,,,,
,,47,,,5405.94580078125,457735424.0,915460032.0,,,,,,
,,48,,,5405.8623046875,456735744.0,913460672.0,,,,,,
,,49,,,5405.9140625,399682720.0,799354624.0,,,,,,
,,50,,,5405.90234375,404657696.0,809304576.0,,,,,,
,,51,,,5405.89599609375,398637376.0,797263936.0,,,,,,
,,52,,,5405.90234375,427278816.0,854546816.0,,,,,,
,,53,,,5405.90576171875,362061376.0,724111936.0,,,,,,
,,54,,,5405.87353515625,406447936.0,812885056.0,,,,,,
,,55,,,5405.875,450699072.0,901387328.0,,,,,,
,,56,,,5405.88720703125,433211520.0,866412224.0,,,,,,
,,57,,,5405.90283203125,413996224.0,827981632.0,,,,,,
,,58,,,5405.88037109375,395215968.0,790421120.0,,,,,,
,,59,,,5405.91015625,426136640.0,852262464.0,,,,,,
,,239,2,,,,,832151104.0,416080992.0,5405.89697265625,,,
,,239,2,,,,,,,,414156320.0,828303744.0,4511.95556640625
