train_main_loss_step,epoch,train_loss_step,train_recon_loss_step,step,val_main_loss_step,val_recon_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch,train_loss_epoch
872705280.0,0,436356608.0,3967.217041015625,49,,,,,,,,,
,,,,0,821356352.0,4671.39697265625,410682848.0,,,,,,
,,,,1,910942272.0,4671.46826171875,455475808.0,,,,,,
,,,,2,832224384.0,4671.47021484375,416116864.0,,,,,,
,,,,3,853051904.0,4671.42724609375,426530624.0,,,,,,
,,,,4,880861120.0,4671.4248046875,440435232.0,,,,,,
,,,,5,844208064.0,4671.447265625,422108704.0,,,,,,
,,,,6,919196224.0,4671.4365234375,459602784.0,,,,,,
,,,,7,805571648.0,4671.4296875,402790496.0,,,,,,
,,,,8,786485248.0,4671.4384765625,393247296.0,,,,,,
,,,,9,832596736.0,4671.44921875,416303040.0,,,,,,
,,,,10,763239936.0,4671.45654296875,381624640.0,,,,,,
,,,,11,933583360.0,4671.40478515625,466796352.0,,,,,,
,,,,12,860388736.0,4671.46435546875,430199040.0,,,,,,
,,,,13,958263104.0,4671.4033203125,479136224.0,,,,,,
,,,,14,832149504.0,4671.45703125,416079424.0,,,,,,
,,,,15,774540480.0,4671.404296875,387274912.0,,,,,,
,,,,16,864883648.0,4671.4013671875,432446496.0,,,,,,
,,,,17,899132800.0,4671.46484375,449571072.0,,,,,,
,,,,18,750960960.0,4671.46044921875,375485152.0,,,,,,
,,,,19,1033635328.0,4671.4248046875,516822336.0,,,,,,
,0,,,79,,,,4671.43603515625,857863680.0,428936448.0,,,
,0,,,79,,,,,,,817955648.0,3965.5068359375,408981920.0
872491072.0,1,436249504.0,3958.45947265625,99,,,,,,,,,
937821376.0,1,468914624.0,3944.959228515625,149,,,,,,,,,
,,,,20,820636800.0,4645.76953125,410323040.0,,,,,,
,,,,21,910194048.0,4645.837890625,455101664.0,,,,,,
,,,,22,831503744.0,4645.84326171875,415756512.0,,,,,,
,,,,23,852328448.0,4645.79443359375,426168864.0,,,,,,
,,,,24,880110784.0,4645.79248046875,440060032.0,,,,,,
,,,,25,843465344.0,4645.8193359375,421737312.0,,,,,,
,,,,26,918431168.0,4645.8056640625,459220224.0,,,,,,
,,,,27,804862208.0,4645.80029296875,402435744.0,,,,,,
,,,,28,785784896.0,4645.8115234375,392897088.0,,,,,,
,,,,29,831881408.0,4645.82080078125,415945344.0,,,,,,
,,,,30,762560704.0,4645.8271484375,381284992.0,,,,,,
,,,,31,932802816.0,4645.77197265625,466406048.0,,,,,,
,,,,32,859644800.0,4645.83154296875,429827040.0,,,,,,
,,,,33,957473600.0,4645.76806640625,478741440.0,,,,,,
,,,,34,831432448.0,4645.82568359375,415720864.0,,,,,,
,,,,35,773847296.0,4645.77783203125,386928288.0,,,,,,
,,,,36,864161728.0,4645.77197265625,432085504.0,,,,,,
,,,,37,898381312.0,4645.8291015625,449195296.0,,,,,,
,,,,38,750300032.0,4645.83154296875,375154656.0,,,,,,
,,,,39,1032817536.0,4645.79345703125,516413408.0,,,,,,
,1,,,159,,,,4645.80615234375,857131008.0,428570176.0,,,
,1,,,159,,,,,,,817422592.0,3954.196533203125,408715168.0
835956224.0,2,417982048.0,3920.5986328125,199,,,,,,,,,
,,,,40,819276672.0,4605.0537109375,409642944.0,,,,,,
,,,,41,908779904.0,4605.11279296875,454394560.0,,,,,,
,,,,42,830141312.0,4605.11376953125,415075264.0,,,,,,
,,,,43,850961024.0,4605.07275390625,425485120.0,,,,,,
,,,,44,878692608.0,4605.06884765625,439350912.0,,,,,,
,,,,45,842061760.0,4605.095703125,421035488.0,,,,,,
,,,,46,916985024.0,4605.08447265625,458497120.0,,,,,,
,,,,47,803521280.0,4605.07373046875,401765248.0,,,,,,
,,,,48,784461248.0,4605.09423828125,392235232.0,,,,,,
,,,,49,830528960.0,4605.0927734375,415269088.0,,,,,,
,,,,50,761276736.0,4605.10302734375,380642976.0,,,,,,
,,,,51,931327424.0,4605.05126953125,465668320.0,,,,,,
,,,,52,858238720.0,4605.109375,429123968.0,,,,,,
,,,,53,955981056.0,4605.05029296875,477995136.0,,,,,,
,,,,54,830077440.0,4605.1025390625,415043328.0,,,,,,
,,,,55,772536960.0,4605.056640625,386273088.0,,,,,,
,,,,56,862797184.0,4605.044921875,431403200.0,,,,,,
,,,,57,896960896.0,4605.09912109375,448485056.0,,,,,,
,,,,58,749050752.0,4605.10400390625,374529984.0,,,,,,
,,,,59,1031271808.0,4605.07373046875,515640512.0,,,,,,
,2,,,239,,,,4605.08251953125,855746496.0,427877824.0,,,
,2,,,239,,,,,,,816609024.0,3925.208740234375,408308352.0
