train_recon_loss_step,step,epoch,train_main_loss_step,train_loss_step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_main_loss_epoch,val_recon_loss_epoch,val_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
3469.5859375,49,0,790314240.0,395160576.0,,,,,,,,,
,0,,,,3740.40283203125,349046976.0,698086464.0,,,,,,
,1,,,,3740.427001953125,438166560.0,876325632.0,,,,,,
,2,,,,3740.454345703125,361964480.0,723921472.0,,,,,,
,3,,,,3740.387451171875,433443104.0,866878720.0,,,,,,
,4,,,,3740.3642578125,426392320.0,852777152.0,,,,,,
,5,,,,3740.405517578125,453114496.0,906221504.0,,,,,,
,6,,,,3740.4033203125,491103616.0,982199744.0,,,,,,
,7,,,,3740.43896484375,369012480.0,738017472.0,,,,,,
,8,,,,3740.387939453125,356886880.0,713766272.0,,,,,,
,9,,,,3740.420166015625,419164864.0,838322240.0,,,,,,
,10,,,,3740.394287109375,464596736.0,929185984.0,,,,,,
,11,,,,3740.41455078125,389072128.0,778136768.0,,,,,,
,12,,,,3740.426513671875,437572640.0,875137792.0,,,,,,
,13,,,,3740.40283203125,373531936.0,747056384.0,,,,,,
,14,,,,3740.382080078125,371999648.0,743991808.0,,,,,,
,15,,,,3740.472900390625,454590880.0,909174272.0,,,,,,
,16,,,,3740.402099609375,418300544.0,836593600.0,,,,,,
,17,,,,3740.4208984375,427422752.0,854838016.0,,,,,,
,18,,,,3740.394287109375,397698976.0,795390464.0,,,,,,
,19,,,,3740.42041015625,368914176.0,737820864.0,,,,,,
,79,0,,,,,,820192128.0,3740.410888671875,410099776.0,,,
,79,0,,,,,,,,,3467.66162109375,417258112.0,834509632.0
3459.465087890625,99,1,858066560.0,429036736.0,,,,,,,,,
3431.586669921875,149,1,843147776.0,421577312.0,,,,,,,,,
,20,,,,3695.146728515625,348924640.0,697841920.0,,,,,,
,21,,,,3695.17041015625,438027392.0,876047424.0,,,,,,
,22,,,,3695.197998046875,361842080.0,723676800.0,,,,,,
,23,,,,3695.13134765625,433304480.0,866601600.0,,,,,,
,24,,,,3695.109130859375,426257376.0,852507392.0,,,,,,
,25,,,,3695.15087890625,452969984.0,905932608.0,,,,,,
,26,,,,3695.1474609375,490953856.0,981900352.0,,,,,,
,27,,,,3695.18359375,368887584.0,737767808.0,,,,,,
,28,,,,3695.131103515625,356763392.0,713519424.0,,,,,,
,29,,,,3695.163330078125,419031328.0,838055296.0,,,,,,
,30,,,,3695.1376953125,464449952.0,928892544.0,,,,,,
,31,,,,3695.156494140625,388943328.0,777879296.0,,,,,,
,32,,,,3695.17041015625,437433408.0,874859456.0,,,,,,
,33,,,,3695.14794921875,373405152.0,746802944.0,,,,,,
,34,,,,3695.12646484375,371878784.0,743750208.0,,,,,,
,35,,,,3695.21533203125,454445856.0,908884352.0,,,,,,
,36,,,,3695.145263671875,418162752.0,836318144.0,,,,,,
,37,,,,3695.163818359375,427291072.0,854574784.0,,,,,,
,38,,,,3695.13818359375,397567552.0,795127744.0,,,,,,
,39,,,,3695.162841796875,368788000.0,737568640.0,,,,,,
,159,1,,,,,,819925376.0,3695.15478515625,409966400.0,,,
,159,1,,,,,,,,,3447.1455078125,417183296.0,834360000.0
3385.43212890625,199,2,774854720.0,387430752.0,,,,,,,,,
,40,,,,3606.4111328125,348677536.0,697347840.0,,,,,,
,41,,,,3606.434326171875,437746336.0,875485440.0,,,,,,
,42,,,,3606.45654296875,361594880.0,723182528.0,,,,,,
,43,,,,3606.393798828125,433024448.0,866041664.0,,,,,,
,44,,,,3606.3759765625,425984928.0,851962624.0,,,,,,
,45,,,,3606.412109375,452678208.0,905349184.0,,,,,,
,46,,,,3606.411865234375,490651200.0,981295168.0,,,,,,
,47,,,,3606.445556640625,368635456.0,737263680.0,,,,,,
,48,,,,3606.3974609375,356514048.0,713020864.0,,,,,,
,49,,,,3606.426025390625,418761696.0,837516160.0,,,,,,
,50,,,,3606.4013671875,464153568.0,928299904.0,,,,,,
,51,,,,3606.4169921875,388683200.0,777359168.0,,,,,,
,52,,,,3606.434814453125,437152192.0,874297152.0,,,,,,
,53,,,,3606.41259765625,373149056.0,746290880.0,,,,,,
,54,,,,3606.38916015625,371634624.0,743262016.0,,,,,,
,55,,,,3606.474853515625,454153120.0,908299008.0,,,,,,
,56,,,,3606.40869140625,417884608.0,835761984.0,,,,,,
,57,,,,3606.42578125,427025216.0,854043200.0,,,,,,
,58,,,,3606.40380859375,397302208.0,794597184.0,,,,,,
,59,,,,3606.426513671875,368533152.0,737059072.0,,,,,,
,239,2,,,,,,819386688.0,3606.41796875,409696992.0,,,
,239,2,,,,,,,,,3385.387451171875,416909504.0,833812160.0
3333.991943359375,249,3,735670912.0,367838784.0,,,,,,,,,
3256.296630859375,299,3,721090752.0,360548640.0,,,,,,,,,
,60,,,,3484.243896484375,348309440.0,696611904.0,,,,,,
,61,,,,3484.266845703125,437327520.0,874648064.0,,,,,,
,62,,,,3484.28857421875,361226560.0,722446144.0,,,,,,
,63,,,,3484.225830078125,432607232.0,865207488.0,,,,,,
,64,,,,3484.2119140625,425579040.0,851151104.0,,,,,,
,65,,,,3484.244873046875,452243424.0,904479872.0,,,,,,
,66,,,,3484.244873046875,490200352.0,980393728.0,,,,,,
,67,,,,3484.276611328125,368259744.0,736512512.0,,,,,,
,68,,,,3484.22998046875,356142592.0,712278208.0,,,,,,
,69,,,,3484.258056640625,418359872.0,836712768.0,,,,,,
,70,,,,3484.234375,463711840.0,927416704.0,,,,,,
,71,,,,3484.2470703125,388295616.0,776584256.0,,,,,,
,72,,,,3484.267578125,436733216.0,873459456.0,,,,,,
,73,,,,3484.246337890625,372767520.0,745528064.0,,,,,,
,74,,,,3484.223388671875,371270944.0,742534912.0,,,,,,
,75,,,,3484.30517578125,453716832.0,907426688.0,,,,,,
,76,,,,3484.239990234375,417470176.0,834933376.0,,,,,,
,77,,,,3484.2578125,426629088.0,853251200.0,,,,,,
,78,,,,3484.2373046875,396906752.0,793806528.0,,,,,,
,79,,,,3484.2587890625,368153504.0,736300032.0,,,,,,
,319,3,,,,,,818584064.0,3484.25048828125,409295584.0,,,
,319,3,,,,,,,,,3286.728759765625,416655200.0,833303808.0
3178.81787109375,349,4,780498176.0,390252256.0,,,,,,,,,
3102.304931640625,399,4,841360448.0,420683328.0,,,,,,,,,
,80,,,,3344.537841796875,347825440.0,695644160.0,,,,,,
,81,,,,3344.559326171875,436776832.0,873546944.0,,,,,,
,82,,,,3344.580322265625,360742336.0,721477952.0,,,,,,
,83,,,,3344.523193359375,432058656.0,864110592.0,,,,,,
,84,,,,3344.506591796875,425045280.0,850083840.0,,,,,,
,85,,,,3344.537353515625,451671744.0,903336768.0,,,,,,
,86,,,,3344.5390625,489607424.0,979208128.0,,,,,,
,87,,,,3344.565673828125,367765760.0,735524800.0,,,,,,
,88,,,,3344.528076171875,355654048.0,711301376.0,,,,,,
,89,,,,3344.5498046875,417831616.0,835656512.0,,,,,,
,90,,,,3344.529296875,463131072.0,926255424.0,,,,,,
,91,,,,3344.54150390625,387786016.0,775565312.0,,,,,,
,92,,,,3344.557373046875,436182208.0,872357696.0,,,,,,
,93,,,,3344.53857421875,372265824.0,744524928.0,,,,,,
,94,,,,3344.5205078125,370792832.0,741578944.0,,,,,,
,95,,,,3344.596435546875,453143136.0,906279552.0,,,,,,
,96,,,,3344.533203125,416925248.0,833843776.0,,,,,,
,97,,,,3344.551025390625,426108224.0,852209728.0,,,,,,
,98,,,,3344.5322265625,396386912.0,792767104.0,,,,,,
,99,,,,3344.55126953125,367654240.0,735301760.0,,,,,,
,399,4,,,,,,817528704.0,3344.543701171875,408767744.0,,,
,399,4,,,,,,,,,3164.318603515625,416149856.0,832293504.0
3011.938720703125,449,5,981562240.0,490784128.0,,,,,,,,,
,100,,,,3192.402099609375,347258688.0,694510976.0,,,,,,
,101,,,,3192.423095703125,436131936.0,872257472.0,,,,,,
,102,,,,3192.441650390625,360175264.0,720344128.0,,,,,,
