train_loss_step,epoch,step,train_recon_loss_step,train_main_loss_step,val_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_epoch,val_main_loss_epoch,val_loss_epoch,train_loss_epoch,train_main_loss_epoch,train_recon_loss_epoch
373549536.0,0,49,2721.103515625,747093632.0,,,,,,,,,
,,0,,,2971.00927734375,842730560.0,421368256.0,,,,,,
,,1,,,2971.060546875,933013760.0,466509856.0,,,,,,
,,2,,,2971.025146484375,907939200.0,453972576.0,,,,,,
,,3,,,2971.024658203125,787673152.0,393839552.0,,,,,,
,,4,,,2971.07275390625,729246848.0,364626400.0,,,,,,
,,5,,,2971.019287109375,825793920.0,412899936.0,,,,,,
,,6,,,2971.015625,973873536.0,486939744.0,,,,,,
,,7,,,2971.044921875,868869888.0,434437920.0,,,,,,
,,8,,,2971.064208984375,828020480.0,414013216.0,,,,,,
,,9,,,2971.042724609375,791225600.0,395615776.0,,,,,,
,,10,,,2971.055419921875,746307904.0,373156928.0,,,,,,
,,11,,,2971.035400390625,886152256.0,443079104.0,,,,,,
,,12,,,2971.059814453125,739603264.0,369804608.0,,,,,,
,,13,,,2971.046875,672639680.0,336322816.0,,,,,,
,,14,,,2971.053466796875,1017396032.0,508700992.0,,,,,,
,,15,,,2971.0419921875,824908032.0,412456992.0,,,,,,
,,16,,,2971.021240234375,894378368.0,447192160.0,,,,,,
,,17,,,2971.095458984375,839117440.0,419561696.0,,,,,,
,,18,,,2970.989501953125,982838400.0,491422176.0,,,,,,
,,19,,,2971.084228515625,774104128.0,387055040.0,,,,,,
,0,79,,,,,,2971.04296875,843291712.0,421648768.0,,,
,0,79,,,,,,,,,415672608.0,831339840.0,2721.49755859375
439801664.0,1,99,2710.65966796875,879597888.0,,,,,,,,,
398921536.0,1,149,2681.78466796875,797837696.0,,,,,,,,,
,,20,,,2921.1142578125,842318976.0,421162400.0,,,,,,
,,21,,,2921.1630859375,932572608.0,466289216.0,,,,,,
,,22,,,2921.1279296875,907513600.0,453759712.0,,,,,,
,,23,,,2921.128662109375,787284352.0,393645088.0,,,,,,
,,24,,,2921.175048828125,728871232.0,364438528.0,,,,,,
,,25,,,2921.121826171875,825392896.0,412699360.0,,,,,,
,,26,,,2921.117431640625,973427584.0,486716704.0,,,,,,
,,27,,,2921.147705078125,868447936.0,434226880.0,,,,,,
,,28,,,2921.16748046875,827613952.0,413809888.0,,,,,,
,,29,,,2921.146728515625,790838784.0,395422304.0,,,,,,
,,30,,,2921.158203125,745924928.0,372965376.0,,,,,,
,,31,,,2921.138427734375,885731072.0,442868448.0,,,,,,
,,32,,,2921.162841796875,739228864.0,369617344.0,,,,,,
,,33,,,2921.15087890625,672283392.0,336144608.0,,,,,,
,,34,,,2921.15576171875,1016931136.0,508468480.0,,,,,,
,,35,,,2921.1435546875,824503424.0,412254624.0,,,,,,
,,36,,,2921.123046875,893965760.0,446985792.0,,,,,,
,,37,,,2921.1982421875,838710912.0,419358368.0,,,,,,
,,38,,,2921.093017578125,982385920.0,491195872.0,,,,,,
,,39,,,2921.18603515625,773718528.0,386862176.0,,,,,,
,1,159,,,,,,2921.146240234375,842883264.0,421444512.0,,,
,1,159,,,,,,,,,415678880.0,831352320.0,2698.91796875
429882336.0,2,199,2631.76953125,859759424.0,,,,,,,,,
,,40,,,2827.6318359375,841492992.0,420749312.0,,,,,,
,,41,,,2827.67822265625,931687488.0,465846560.0,,,,,,
,,42,,,2827.644287109375,906659840.0,453332736.0,,,,,,
,,43,,,2827.6455078125,786504512.0,393255072.0,,,,,,
,,44,,,2827.690185546875,728117504.0,364061568.0,,,,,,
,,45,,,2827.637451171875,824588352.0,412296992.0,,,,,,
,,46,,,2827.634033203125,972532352.0,486268992.0,,,,,,
,,47,,,2827.662841796875,867601280.0,433803456.0,,,,,,
,,48,,,2827.68212890625,826798080.0,413401856.0,,,,,,
,,49,,,2827.663330078125,790062784.0,395034208.0,,,,,,
,,50,,,2827.673095703125,745156544.0,372581088.0,,,,,,
,,51,,,2827.65380859375,884886016.0,442445824.0,,,,,,
,,52,,,2827.678466796875,738477824.0,369241728.0,,,,,,
,,53,,,2827.666748046875,671568512.0,335787072.0,,,,,,
,,54,,,2827.6708984375,1015998208.0,508001920.0,,,,,,
,,55,,,2827.66015625,823691648.0,411848640.0,,,,,,
,,56,,,2827.6396484375,893137664.0,446571648.0,,,,,,
,,57,,,2827.711669921875,837895296.0,418950464.0,,,,,,
,,58,,,2827.610595703125,981478272.0,490741952.0,,,,,,
,,59,,,2827.7001953125,772945088.0,386475360.0,,,,,,
,2,239,,,,,,2827.66162109375,842063936.0,421034816.0,,,
,2,239,,,,,,,,,415365952.0,830726720.0,2633.84716796875
330688320.0,3,249,2577.409423828125,661371456.0,,,,,,,,,
414573248.0,3,299,2509.5537109375,829141504.0,,,,,,,,,
,,60,,,2704.943359375,840285696.0,420145568.0,,,,,,
,,61,,,2704.989013671875,930393344.0,465199392.0,,,,,,
,,62,,,2704.95361328125,905411520.0,452708480.0,,,,,,
,,63,,,2704.954833984375,785364416.0,392684928.0,,,,,,
,,64,,,2704.998779296875,727015808.0,363510624.0,,,,,,
