train_loss_step,step,epoch,train_main_loss_step,train_recon_loss_step,val_main_loss_step,val_loss_step,val_recon_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_loss_epoch,train_main_loss_epoch
389856448.0,49,0,779706752.0,3078.47705078125,,,,,,,,,
,0,,,,926620288.0,463313440.0,3305.5634765625,,,,,,
,1,,,,760808704.0,380407648.0,3305.529052734375,,,,,,
,2,,,,799508672.0,399757632.0,3305.577392578125,,,,,,
,3,,,,858604800.0,429305696.0,3305.54638671875,,,,,,
,4,,,,939110336.0,469558464.0,3305.544921875,,,,,,
,5,,,,863938176.0,431972384.0,3305.525146484375,,,,,,
,6,,,,823414848.0,411710720.0,3305.556640625,,,,,,
,7,,,,670863488.0,335435040.0,3305.549560546875,,,,,,
,8,,,,907730368.0,453868480.0,3305.557373046875,,,,,,
,9,,,,879439808.0,439723200.0,3305.533203125,,,,,,
,10,,,,875638400.0,437822496.0,3305.542724609375,,,,,,
,11,,,,745980992.0,372993792.0,3305.5615234375,,,,,,
,12,,,,899169216.0,449587904.0,3305.576904296875,,,,,,
,13,,,,699702080.0,349854336.0,3305.577392578125,,,,,,
,14,,,,918055744.0,459031168.0,3305.55322265625,,,,,,
,15,,,,875728384.0,437867488.0,3305.537109375,,,,,,
,16,,,,807260352.0,403633472.0,3305.564453125,,,,,,
,17,,,,704746048.0,352376320.0,3305.534912109375,,,,,,
,18,,,,926182528.0,463094560.0,3305.553955078125,,,,,,
,19,,,,721506944.0,360756768.0,3305.539794921875,,,,,,
,79,0,,,,,,415103552.0,830200576.0,3305.55126953125,,,
,79,0,,,,,,,,,3078.87109375,413675936.0,827345728.0
420923680.0,99,1,841841216.0,3065.41845703125,,,,,,,,,
409517216.0,149,1,819028352.0,3034.44775390625,,,,,,,,,
,20,,,,926305472.0,463156000.0,3251.629638671875,,,,,,
,21,,,,760532032.0,380269280.0,3251.595458984375,,,,,,
,22,,,,799215360.0,399610944.0,3251.643310546875,,,,,,
,23,,,,858307072.0,429156800.0,3251.61328125,,,,,,
,24,,,,938787968.0,469397248.0,3251.61083984375,,,,,,
,25,,,,863634176.0,431820352.0,3251.591064453125,,,,,,
,26,,,,823118592.0,411562560.0,3251.62255859375,,,,,,
,27,,,,670606464.0,335306496.0,3251.615478515625,,,,,,
,28,,,,907416320.0,453711424.0,3251.623779296875,,,,,,
,29,,,,879133248.0,439569888.0,3251.599365234375,,,,,,
,30,,,,875326912.0,437666720.0,3251.609130859375,,,,,,
,31,,,,745699584.0,372853056.0,3251.627197265625,,,,,,
,32,,,,898857728.0,449432128.0,3251.642578125,,,,,,
,33,,,,699435200.0,349720864.0,3251.643310546875,,,,,,
,34,,,,917742656.0,458874592.0,3251.618896484375,,,,,,
,35,,,,875425984.0,437716256.0,3251.603515625,,,,,,
,36,,,,806966528.0,403486528.0,3251.63037109375,,,,,,
,37,,,,704480384.0,352243456.0,3251.6015625,,,,,,
,38,,,,925868224.0,462937376.0,3251.620361328125,,,,,,
,39,,,,721225280.0,360615904.0,3251.605712890625,,,,,,
,159,1,,,,,,414955360.0,829904192.0,3251.617431640625,,,
,159,1,,,,,,,,,3053.414306640625,413685568.0,827364928.0
477587168.0,199,2,955168384.0,2981.513427734375,,,,,,,,,
,40,,,,925686912.0,462846592.0,3147.791748046875,,,,,,
,41,,,,759988288.0,379997280.0,3147.760498046875,,,,,,
,42,,,,798639360.0,399322816.0,3147.8056640625,,,,,,
,43,,,,857722368.0,428864320.0,3147.780029296875,,,,,,
,44,,,,938154880.0,469080576.0,3147.772705078125,,,,,,
,45,,,,863036864.0,431521568.0,3147.7568359375,,,,,,
,46,,,,822536384.0,411271328.0,3147.785888671875,,,,,,
,47,,,,670101568.0,335053920.0,3147.78076171875,,,,,,
,48,,,,906799488.0,453402880.0,3147.7861328125,,,,,,
,49,,,,878531328.0,439268800.0,3147.764892578125,,,,,,
,50,,,,874714880.0,437360576.0,3147.775146484375,,,,,,
,51,,,,745146880.0,372576576.0,3147.79345703125,,,,,,
,52,,,,898245824.0,449126048.0,3147.80517578125,,,,,,
,53,,,,698910912.0,349458592.0,3147.806396484375,,,,,,
,54,,,,917127744.0,458567008.0,3147.784423828125,,,,,,
,55,,,,874832064.0,437419168.0,3147.76904296875,,,,,,
,56,,,,806389568.0,403197920.0,3147.791259765625,,,,,,
,57,,,,703958464.0,351982368.0,3147.76611328125,,,,,,
,58,,,,925250432.0,462628352.0,3147.785888671875,,,,,,
,59,,,,720671872.0,360339072.0,3147.768798828125,,,,,,
,239,2,,,,,,414664320.0,829322304.0,3147.781494140625,,,
,239,2,,,,,,,,,2979.8486328125,413353056.0,826700288.0
404591424.0,249,3,809177024.0,2914.22998046875,,,,,,,,,
539491328.0,299,3,1078977024.0,2831.511962890625,,,,,,,,,
,60,,,,924779008.0,462392512.0,3007.65380859375,,,,,,
,61,,,,759190336.0,379598176.0,3007.625,,,,,,
,62,,,,797793792.0,398899904.0,3007.66748046875,,,,,,
,63,,,,856864000.0,428435008.0,3007.642333984375,,,,,,
,64,,,,937225472.0,468615744.0,3007.63623046875,,,,,,
,65,,,,862160320.0,431083168.0,3007.62060546875,,,,,,
,66,,,,821681856.0,410843936.0,3007.647705078125,,,,,,
,67,,,,669360704.0,334683360.0,3007.64404296875,,,,,,
,68,,,,905894080.0,452950048.0,3007.6484375,,,,,,
,69,,,,877647616.0,438826816.0,3007.628173828125,,,,,,
,70,,,,873816896.0,436911456.0,3007.638916015625,,,,,,
,71,,,,744335616.0,372170816.0,3007.655517578125,,,,,,
