train_recon_loss_step,epoch,train_loss_step,train_main_loss_step,step,val_recon_loss_step,val_loss_step,val_main_loss_step,val_loss_epoch,val_main_loss_epoch,val_recon_loss_epoch,train_recon_loss_epoch,train_main_loss_epoch,train_loss_epoch
4642.17724609375,0,380859360.0,761709440.0,49,,,,,,,,,
,,,,0,4979.1455078125,355985120.0,711960256.0,,,,,,
,,,,1,4979.205078125,462015744.0,924021504.0,,,,,,
,,,,2,4979.23486328125,377812992.0,755616000.0,,,,,,
,,,,3,4979.18798828125,509194656.0,1018379328.0,,,,,,
,,,,4,4979.21142578125,417009920.0,834009856.0,,,,,,
,,,,5,4979.16552734375,418676288.0,837342592.0,,,,,,
,,,,6,4979.232421875,449856512.0,899703040.0,,,,,,
,,,,7,4979.19873046875,441641568.0,883273152.0,,,,,,
,,,,8,4979.11474609375,394612352.0,789214720.0,,,,,,
,,,,9,4979.18408203125,427090560.0,854171136.0,,,,,,
,,,,10,4979.169921875,443704096.0,887398208.0,,,,,,
,,,,11,4979.21875,410437184.0,820864384.0,,,,,,
,,,,12,4979.1630859375,437275040.0,874540096.0,,,,,,
,,,,13,4979.16796875,375085408.0,750160832.0,,,,,,
,,,,14,4979.224609375,389747584.0,779485184.0,,,,,,
,,,,15,4979.18115234375,417848832.0,835687680.0,,,,,,
,,,,16,4979.1591796875,384988608.0,769967232.0,,,,,,
,,,,17,4979.2119140625,440610976.0,881211968.0,,,,,,
,,,,18,4979.2119140625,380863040.0,761716096.0,,,,,,
,,,,19,4979.1416015625,337614240.0,675218496.0,,,,,,
,0,,,79,,,,413603520.0,827197056.0,4979.1865234375,,,
,0,,,79,,,,,,,4635.04931640625,824302848.0,412156096.0
4623.61083984375,1,387466464.0,774923712.0,99,,,,,,,,,
4594.92724609375,1,454080704.0,908152192.0,149,,,,,,,,,
,,,,20,4931.97998046875,355838944.0,711668032.0,,,,,,
,,,,21,4932.0361328125,461840672.0,923671488.0,,,,,,
,,,,22,4932.0693359375,377658304.0,755306752.0,,,,,,
,,,,23,4932.02099609375,509014016.0,1018018176.0,,,,,,
,,,,24,4932.044921875,416845600.0,833681344.0,,,,,,
,,,,25,4932.0009765625,418514208.0,837018560.0,,,,,,
,,,,26,4932.06640625,449685952.0,899362048.0,,,,,,
,,,,27,4932.03466796875,441471680.0,882933504.0,,,,,,
,,,,28,4931.9482421875,394455040.0,788900224.0,,,,,,
,,,,29,4932.01708984375,426929088.0,853848320.0,,,,,,
,,,,30,4932.00244140625,443537376.0,887064896.0,,,,,,
,,,,31,4932.05322265625,410276224.0,820542592.0,,,,,,
,,,,32,4931.99658203125,437110880.0,874211904.0,,,,,,
,,,,33,4932.0,374935616.0,749861376.0,,,,,,
,,,,34,4932.06103515625,389590464.0,779171072.0,,,,,,
,,,,35,4932.01220703125,417689088.0,835368320.0,,,,,,
,,,,36,4931.9951171875,384830848.0,769651840.0,,,,,,
,,,,37,4932.04443359375,440443264.0,880876672.0,,,,,,
,,,,38,4932.0439453125,380712064.0,761414272.0,,,,,,
,,,,39,4931.974609375,337472768.0,674935680.0,,,,,,
,1,,,159,,,,413442592.0,826875392.0,4932.01953125,,,
,1,,,159,,,,,,,4612.6025390625,824292096.0,412150720.0
4547.29248046875,2,396950432.0,793891776.0,199,,,,,,,,,
,,,,40,4839.30419921875,355552416.0,711095168.0,,,,,,
,,,,41,4839.3623046875,461497440.0,922985216.0,,,,,,
,,,,42,4839.39404296875,377355008.0,754700352.0,,,,,,
,,,,43,4839.3466796875,508659840.0,1017310016.0,,,,,,
,,,,44,4839.369140625,416523520.0,833037376.0,,,,,,
,,,,45,4839.3271484375,418196512.0,836383360.0,,,,,,
,,,,46,4839.3896484375,449351680.0,898693696.0,,,,,,
,,,,47,4839.3583984375,441138528.0,882267392.0,,,,,,
,,,,48,4839.2744140625,394146432.0,788283200.0,,,,,,
,,,,49,4839.34228515625,426612576.0,853215488.0,,,,,,
,,,,50,4839.3271484375,443210304.0,886410944.0,,,,,,
,,,,51,4839.376953125,409960544.0,819911424.0,,,,,,
,,,,52,4839.322265625,436789120.0,873568576.0,,,,,,
,,,,53,4839.32568359375,374641856.0,749274048.0,,,,,,
,,,,54,4839.38623046875,389282368.0,778555072.0,,,,,,
,,,,55,4839.33740234375,417376000.0,834742336.0,,,,,,
,,,,56,4839.3193359375,384521536.0,769033408.0,,,,,,
,,,,57,4839.36865234375,440114432.0,880219200.0,,,,,,
,,,,58,4839.369140625,380416128.0,760822592.0,,,,,,
,,,,59,4839.2998046875,337195328.0,674380992.0,,,,,,
,2,,,239,,,,413127008.0,826244608.0,4839.3447265625,,,
,2,,,239,,,,,,,4548.0830078125,823473024.0,411741024.0
4491.486328125,3,388539456.0,777069952.0,249,,,,,,,,,
4413.9228515625,3,430198048.0,860387264.0,299,,,,,,,,,
,,,,60,4709.78857421875,355126496.0,710243584.0,,,,,,
,,,,61,4709.84521484375,460987232.0,921965056.0,,,,,,
,,,,62,4709.87744140625,376904128.0,753798848.0,,,,,,
,,,,63,4709.83349609375,508133280.0,1016257152.0,,,,,,
,,,,64,4709.8525390625,416044672.0,832079936.0,,,,,,
,,,,65,4709.8134765625,417724320.0,835439232.0,,,,,,
,,,,66,4709.87353515625,448854752.0,897700096.0,,,,,,
,,,,67,4709.84423828125,440643424.0,881277440.0,,,,,,
,,,,68,4709.75830078125,393687808.0,787366208.0,,,,,,
,,,,69,4709.826171875,426141984.0,852274560.0,,,,,,
,,,,70,4709.8115234375,442724192.0,885438976.0,,,,,,
,,,,71,4709.8623046875,409491328.0,818973248.0,,,,,,
,,,,72,4709.80712890625,436310816.0,872612224.0,,,,,,
,,,,73,4709.81005859375,374205184.0,748400960.0,,,,,,
,,,,74,4709.86962890625,388824544.0,777639680.0,,,,,,
,,,,75,4709.82470703125,416910624.0,833811840.0,,,,,,
,,,,76,4709.8046875,384061792.0,768114176.0,,,,,,
,,,,77,4709.8525390625,439625696.0,879241984.0,,,,,,
,,,,78,4709.85302734375,379976192.0,759942976.0,,,,,,
,,,,79,4709.78515625,336782976.0,673556544.0,,,,,,
,3,,,319,,,,412658112.0,825306816.0,4709.8291015625,,,
,3,,,319,,,,,,,4443.7021484375,822995072.0,411501952.0
4331.02783203125,4,414365664.0,828722688.0,349,,,,,,,,,
4256.92578125,4,349552416.0,699096320.0,399,,,,,,,,,
,,,,80,4572.7236328125,354523808.0,709038464.0,,,,,,
,,,,81,4572.78662109375,460265120.0,920521088.0,,,,,,
,,,,82,4572.81640625,376266112.0,752523072.0,,,,,,
,,,,83,4572.7744140625,507388064.0,1014766976.0,,,,,,
,,,,84,4572.7900390625,415367008.0,830724864.0,,,,,,
,,,,85,4572.7548828125,417055936.0,834102720.0,,,,,,
,,,,86,4572.80908203125,448151392.0,896293632.0,,,,,,
,,,,87,4572.783203125,439942656.0,879876160.0,,,,,,
,,,,88,4572.6982421875,393038720.0,786068288.0,,,,,,
,,,,89,4572.763671875,425476032.0,850942912.0,,,,,,
,,,,90,4572.75048828125,442036160.0,884063168.0,,,,,,
,,,,91,4572.80126953125,408827360.0,817645568.0,,,,,,
,,,,92,4572.74755859375,435633952.0,871258752.0,,,,,,
,,,,93,4572.75146484375,373587328.0,747165504.0,,,,,,
,,,,94,4572.80615234375,388176512.0,776343872.0,,,,,,
,,,,95,4572.76611328125,416251968.0,832494784.0,,,,,,
,,,,96,4572.74462890625,383411264.0,766813376.0,,,,,,
